year,region,anomaly_c
1878,Southern Hemisphere,0.0345744402682957
1879,Southern Hemisphere,0.1398959795322039
1880,Southern Hemisphere,0.06633848795758013
1881,Southern Hemisphere,0.021196407399026285
1882,Southern Hemisphere,-0.0685923365892851
1883,Southern Hemisphere,0.055699458620209086
1884,Southern Hemisphere,-0.01741723240370696
1885,Southern Hemisphere,-0.25998513928353084
1886,Southern Hemisphere,-0.3021870303212211
1887,Southern Hemisphere,-0.14779771905715933
1888,Southern Hemisphere,-0.15560994090560598
1889,Southern Hemisphere,-0.06277868331663683
1890,Southern Hemisphere,0.003879897658409348
1891,Southern Hemisphere,-0.04493964095328096
1892,Southern Hemisphere,-0.09470456632322843
1893,Southern Hemisphere,-0.09312936331262733
1894,Southern Hemisphere,0.10265729158670744
1895,Southern Hemisphere,0.02441336310731934
1896,Southern Hemisphere,0.04823869784669377
1897,Southern Hemisphere,-0.013278512254798258
1898,Southern Hemisphere,0.0033140336776877888
1899,Southern Hemisphere,0.05535624641115788
1900,Southern Hemisphere,0.1658463817437834
1901,Southern Hemisphere,-0.03730276376320241
1902,Southern Hemisphere,-0.0694771904885787
1903,Southern Hemisphere,0.2144529760189382
1904,Southern Hemisphere,0.16432605279410062
1905,Southern Hemisphere,0.029214267666688443
1906,Southern Hemisphere,-0.07101120115015469
1907,Southern Hemisphere,-0.18658065160781412
1908,Southern Hemisphere,-0.10643528152523629
1909,Southern Hemisphere,0.06341092792799152
1910,Southern Hemisphere,0.016997271392654056
1911,Southern Hemisphere,0.021270680793323393
1912,Southern Hemisphere,0.1050927294390025
1913,Southern Hemisphere,0.14257506199810344
1914,Southern Hemisphere,0.044004153935388146
1915,Southern Hemisphere,0.2109608806187424
1916,Southern Hemisphere,0.15356042860600105
1917,Southern Hemisphere,0.13620642575730635
1918,Southern Hemisphere,0.26643424809229543
1919,Southern Hemisphere,0.14650715235748812
1920,Southern Hemisphere,0.17540575903348987
1921,Southern Hemisphere,0.4608392053366135
1922,Southern Hemisphere,0.19430475062896058
1923,Southern Hemisphere,0.026956050990470715
